timestamp,heart_rate,,,,,
2024-11-22T09:18:45,95,,,,,
2024-11-22T09:18:46,97,,,,,
2024-11-22T09:18:47,98,,,,,
2024-11-22T09:18:52,99,,,,,
2024-11-22T09:18:53,104,,,,,
2024-11-22T09:18:54,104,,,,,
2024-11-22T09:18:55,105,,,,,
2024-11-22T09:19:02,106,,,,,
2024-11-22T09:19:04,108,,,,,
2024-11-22T09:19:05,109,,,,,
2024-11-22T09:19:06,110,,,,,
2024-11-22T09:19:07,111,,,,,
2024-11-22T09:19:08,110,,,,,
2024-11-22T09:19:11,111,,,,,
2024-11-22T09:19:12,112,,,,,
2024-11-22T09:19:17,113,,,,,
2024-11-22T09:19:21,114,,,,,
2024-11-22T09:19:22,115,,,,,
2024-11-22T09:19:25,114,,,,,
2024-11-22T09:19:30,115,,,,,
2024-11-22T09:19:32,116,,,,,
2024-11-22T09:19:33,118,,,,,
2024-11-22T09:19:42,117,,,,,
2024-11-22T09:19:44,116,,,,,
2024-11-22T09:19:45,115,,,,,
2024-11-22T09:19:52,116,,,,,
2024-11-22T09:19:54,117,,,,,
2024-11-22T09:19:55,118,,,,,
2024-11-22T09:19:56,119,,,,,
2024-11-22T09:19:58,118,,,,,
2024-11-22T09:20:01,116,,,,,
2024-11-22T09:20:02,115,,,,,
2024-11-22T09:20:04,114,,,,,
2024-11-22T09:20:05,113,,,,,
2024-11-22T09:20:09,114,,,,,
2024-11-22T09:20:11,116,,,,,
2024-11-22T09:20:13,117,,,,,
2024-11-22T09:20:14,118,,,,,
2024-11-22T09:20:16,119,,,,,
2024-11-22T09:20:18,118,,,,,
2024-11-22T09:20:20,119,,,,,
2024-11-22T09:20:28,118,,,,,
2024-11-22T09:20:29,117,,,,,
2024-11-22T09:20:30,116,,,,,
2024-11-22T09:20:31,115,,,,,
2024-11-22T09:20:33,114,,,,,
2024-11-22T09:20:38,115,,,,,
2024-11-22T09:20:46,116,,,,,
2024-11-22T09:20:48,117,,,,,
2024-11-22T09:20:49,118,,,,,
2024-11-22T09:20:50,119,,,,,
2024-11-22T09:20:51,120,,,,,
2024-11-22T09:20:53,119,,,,,
2024-11-22T09:20:55,118,,,,,
2024-11-22T09:20:56,117,,,,,
2024-11-22T09:20:57,115,,,,,
2024-11-22T09:20:58,114,,,,,
2024-11-22T09:20:59,113,,,,,
2024-11-22T09:21:10,114,,,,,
2024-11-22T09:21:12,115,,,,,
2024-11-22T09:21:15,116,,,,,
2024-11-22T09:21:17,115,,,,,
2024-11-22T09:21:21,116,,,,,
2024-11-22T09:21:22,117,,,,,
2024-11-22T09:21:23,116,,,,,
2024-11-22T09:21:37,117,,,,,
2024-11-22T09:21:38,118,,,,,
2024-11-22T09:21:40,119,,,,,
2024-11-22T09:21:42,120,,,,,
2024-11-22T09:21:47,121,,,,,
2024-11-22T09:21:53,122,,,,,
2024-11-22T09:22:01,121,,,,,
2024-11-22T09:22:03,122,,,,,
2024-11-22T09:22:04,121,,,,,
2024-11-22T09:22:07,120,,,,,
2024-11-22T09:22:09,121,,,,,
2024-11-22T09:22:11,122,,,,,
2024-11-22T09:22:12,123,,,,,
2024-11-22T09:22:13,124,,,,,
2024-11-22T09:22:14,125,,,,,
2024-11-22T09:22:27,126,,,,,
2024-11-22T09:22:30,127,,,,,
2024-11-22T09:22:33,128,,,,,
2024-11-22T09:22:34,129,,,,,
2024-11-22T09:22:35,128,,,,,
2024-11-22T09:22:38,127,,,,,
2024-11-22T09:22:51,128,,,,,
2024-11-22T09:22:54,129,,,,,
2024-11-22T09:22:58,128,,,,,
2024-11-22T09:23:09,129,,,,,
2024-11-22T09:23:12,130,,,,,
2024-11-22T09:23:18,129,,,,,
2024-11-22T09:23:23,130,,,,,
2024-11-22T09:23:26,129,,,,,
2024-11-22T09:23:27,130,,,,,
2024-11-22T09:23:35,131,,,,,
2024-11-22T09:23:42,132,,,,,
2024-11-22T09:23:45,133,,,,,
2024-11-22T09:23:58,132,,,,,
2024-11-22T09:24:01,131,,,,,
2024-11-22T09:24:03,130,,,,,
2024-11-22T09:24:07,129,,,,,
2024-11-22T09:24:08,128,,,,,
2024-11-22T09:24:10,127,,,,,
2024-11-22T09:24:11,126,,,,,
2024-11-22T09:24:15,127,,,,,
2024-11-22T09:24:24,128,,,,,
2024-11-22T09:24:26,129,,,,,
2024-11-22T09:24:28,130,,,,,
2024-11-22T09:24:30,131,,,,,
2024-11-22T09:24:33,132,,,,,
2024-11-22T09:24:36,133,,,,,
2024-11-22T09:24:40,134,,,,,
2024-11-22T09:24:45,133,,,,,
2024-11-22T09:24:49,132,,,,,
2024-11-22T09:24:56,131,,,,,
2024-11-22T09:25:00,132,,,,,
2024-11-22T09:25:02,133,,,,,
2024-11-22T09:25:04,134,,,,,
2024-11-22T09:25:05,135,,,,,
2024-11-22T09:25:06,136,,,,,
2024-11-22T09:25:12,137,,,,,
2024-11-22T09:25:17,138,,,,,
2024-11-22T09:25:19,139,,,,,
2024-11-22T09:25:20,140,,,,,
2024-11-22T09:25:21,141,,,,,
2024-11-22T09:25:23,142,,,,,
2024-11-22T09:25:24,143,,,,,
2024-11-22T09:25:25,145,,,,,
2024-11-22T09:25:26,147,,,,,
2024-11-22T09:25:27,149,,,,,
2024-11-22T09:25:28,150,,,,,
2024-11-22T09:25:31,151,,,,,
2024-11-22T09:25:34,152,,,,,
2024-11-22T09:25:35,153,,,,,
2024-11-22T09:25:37,154,,,,,
2024-11-22T09:25:40,155,,,,,
2024-11-22T09:25:41,156,,,,,
2024-11-22T09:25:44,158,,,,,
2024-11-22T09:25:50,159,,,,,
2024-11-22T09:25:52,158,,,,,
2024-11-22T09:25:55,159,,,,,
2024-11-22T09:25:57,160,,,,,
2024-11-22T09:25:59,161,,,,,
2024-11-22T09:26:03,162,,,,,
2024-11-22T09:26:09,161,,,,,
2024-11-22T09:26:10,162,,,,,
2024-11-22T09:26:12,163,,,,,
2024-11-22T09:26:18,164,,,,,
2024-11-22T09:26:21,163,,,,,
2024-11-22T09:26:24,162,,,,,
2024-11-22T09:26:29,161,,,,,
2024-11-22T09:26:30,160,,,,,
2024-11-22T09:26:34,161,,,,,
2024-11-22T09:26:36,160,,,,,
2024-11-22T09:26:37,159,,,,,
2024-11-22T09:26:38,158,,,,,
2024-11-22T09:26:39,157,,,,,
2024-11-22T09:26:40,156,,,,,
2024-11-22T09:26:45,155,,,,,
2024-11-22T09:26:54,154,,,,,
2024-11-22T09:26:57,153,,,,,
2024-11-22T09:27:00,152,,,,,
2024-11-22T09:27:01,151,,,,,
2024-11-22T09:27:03,150,,,,,
2024-11-22T09:27:06,149,,,,,
2024-11-22T09:27:07,148,,,,,
2024-11-22T09:27:10,147,,,,,
2024-11-22T09:27:11,148,,,,,
2024-11-22T09:27:12,147,,,,,
2024-11-22T09:27:15,146,,,,,
2024-11-22T09:27:16,145,,,,,
2024-11-22T09:27:18,144,,,,,
2024-11-22T09:27:22,143,,,,,
2024-11-22T09:27:36,142,,,,,
2024-11-22T09:27:39,143,,,,,
2024-11-22T09:28:34,144,,,,,
2024-11-22T09:28:36,145,,,,,
2024-11-22T09:28:45,144,,,,,
2024-11-22T09:28:47,143,,,,,
2024-11-22T09:28:50,142,,,,,
2024-11-22T09:29:02,143,,,,,
2024-11-22T09:29:04,142,,,,,
2024-11-22T09:29:16,143,,,,,
2024-11-22T09:29:31,142,,,,,
2024-11-22T09:29:34,141,,,,,
2024-11-22T09:29:38,140,,,,,
2024-11-22T09:29:41,141,,,,,
2024-11-22T09:29:46,140,,,,,
2024-11-22T09:29:49,141,,,,,
2024-11-22T09:29:53,142,,,,,
2024-11-22T09:29:57,143,,,,,
2024-11-22T09:30:00,144,,,,,
2024-11-22T09:30:05,145,,,,,
2024-11-22T09:30:08,144,,,,,
2024-11-22T09:30:15,143,,,,,
2024-11-22T09:30:17,144,,,,,
2024-11-22T09:30:20,145,,,,,
2024-11-22T09:30:22,146,,,,,
2024-11-22T09:30:23,147,,,,,
2024-11-22T09:30:24,148,,,,,
2024-11-22T09:30:25,149,,,,,
2024-11-22T09:30:26,150,,,,,
2024-11-22T09:30:27,152,,,,,
2024-11-22T09:30:28,153,,,,,
2024-11-22T09:30:29,154,,,,,
2024-11-22T09:30:30,155,,,,,
2024-11-22T09:30:31,156,,,,,
2024-11-22T09:30:33,157,,,,,
2024-11-22T09:30:34,158,,,,,
2024-11-22T09:30:35,159,,,,,
2024-11-22T09:30:36,160,,,,,
2024-11-22T09:30:37,161,,,,,
2024-11-22T09:30:39,162,,,,,
2024-11-22T09:30:41,163,,,,,
2024-11-22T09:30:43,164,,,,,
2024-11-22T09:30:45,165,,,,,
2024-11-22T09:30:47,166,,,,,
2024-11-22T09:30:50,167,,,,,
2024-11-22T09:30:53,168,,,,,
2024-11-22T09:30:54,169,,,,,
2024-11-22T09:30:57,170,,,,,
2024-11-22T09:31:01,171,,,,,
2024-11-22T09:31:04,172,,,,,
2024-11-22T09:31:15,173,,,,,
2024-11-22T09:31:19,174,,,,,
2024-11-22T09:31:23,173,,,,,
2024-11-22T09:31:27,172,,,,,
2024-11-22T09:31:30,171,,,,,
2024-11-22T09:31:36,170,,,,,
2024-11-22T09:31:39,169,,,,,
2024-11-22T09:31:44,168,,,,,
2024-11-22T09:31:45,169,,,,,
